,bid,congruency,corrResp,face_path,fid,nid,sbjCorr,sbjRT,sbjResp,tid
0,1,congruent,n,./images/Cruise.jpg,Cruise,Cruise,incorrect,0.900336486985907,b,1
1,1,incongruent,b,./images/Damon.jpg,Damon,Cruise,incorrect,0.30831887800013646,b,2
2,1,congruent,b,./images/Damon.jpg,Damon,Damon,incorrect,0.2638776600069832,b,3
3,1,congruent,v,./images/Clooney.jpg,Clooney,Clooney,incorrect,0.5583833279961254,b,4
4,1,incongruent,v,./images/Clooney.jpg,Clooney,Cruise,incorrect,0.3357628069934435,b,5
5,1,incongruent,n,./images/Cruise.jpg,Cruise,Damon,correct,0.30198795700562187,b,6
6,1,incongruent,n,./images/Cruise.jpg,Cruise,Clooney,incorrect,0.39999465900473297,b,7
7,1,incongruent,v,./images/Clooney.jpg,Clooney,Damon,incorrect,0.36206543300068006,b,8
8,1,incongruent,b,./images/Damon.jpg,Damon,Clooney,correct,0.5201505690056365,b,9
0,2,congruent,v,./images/Clooney.jpg,Clooney,Clooney,incorrect,0.900336486985907,b,1
1,2,congruent,n,./images/Cruise.jpg,Cruise,Cruise,incorrect,0.30831887800013646,b,2
2,2,incongruent,v,./images/Clooney.jpg,Clooney,Damon,incorrect,0.2638776600069832,b,3
3,2,congruent,b,./images/Damon.jpg,Damon,Damon,incorrect,0.5583833279961254,b,4
4,2,incongruent,n,./images/Cruise.jpg,Cruise,Clooney,incorrect,0.3357628069934435,b,5
5,2,incongruent,b,./images/Damon.jpg,Damon,Cruise,correct,0.30198795700562187,b,6
6,2,incongruent,n,./images/Cruise.jpg,Cruise,Damon,incorrect,0.39999465900473297,b,7
7,2,incongruent,v,./images/Clooney.jpg,Clooney,Cruise,incorrect,0.36206543300068006,b,8
8,2,incongruent,b,./images/Damon.jpg,Damon,Clooney,correct,0.5201505690056365,b,9
